Time [s],SCLK,SDI,GPIO2,GPIO3
2.076385680,0,0,0,1
2.076386680,1,1,0,1
2.076387680,0,0,0,1
2.076388680,1,1,0,1
2.076389680,0,0,0,1
2.076390660,1,1,0,1
2.076391660,1,0,0,1
2.076391680,0,0,0,1
2.076392660,1,1,0,1
2.076393660,0,0,0,1
2.076394660,1,1,0,1
2.076395660,0,0,0,1
2.076396660,1,1,0,1
2.076397660,0,0,0,1
2.076439340,1,1,0,1
2.076440340,0,0,0,1
2.076441340,1,1,0,1
2.076442320,1,0,0,1
2.076442340,0,0,0,1
2.076443320,1,1,0,1
2.076444320,0,0,0,1
2.076445320,1,1,0,1
2.076446320,0,0,0,1
2.076447320,1,1,0,1
2.076448320,0,0,0,1
2.076449320,1,1,0,1
2.076450320,0,0,0,1
2.076451320,1,1,0,1
2.076452320,0,0,0,1
2.076453320,1,1,0,1
2.076454300,0,0,0,1
2.076479260,1,1,0,1
2.076480260,0,0,0,1
2.076481260,1,1,0,1
2.076482260,0,0,0,1
2.076483260,1,1,0,1
2.076484260,0,0,0,1
2.076485260,1,1,0,1
2.076486260,0,0,0,1
2.076487240,0,1,0,1
2.076487260,1,1,0,1
2.076488240,0,0,0,1
2.076489240,1,1,0,1
2.076490240,0,0,0,1
2.076491240,1,1,0,1
2.076492240,0,0,0,1
2.076493240,1,1,0,1
2.076494240,0,0,0,1
2.076506220,1,1,0,1
2.076507220,0,0,0,1
2.076508220,1,1,0,1
2.076509220,0,0,0,1
2.076510200,1,1,0,1
2.076511200,0,0,0,1
2.076512200,1,1,0,1
2.076513200,0,0,0,1
2.076514200,1,1,0,1
2.076515200,0,0,0,1
2.076516200,1,1,0,1
2.076517200,0,0,0,1
2.076518200,1,1,0,1
2.076519200,0,0,0,1
2.076520180,1,1,0,1
2.076521180,0,0,0,1
2.076537400,1,1,0,1
2.076538400,0,0,0,1
2.076539400,1,1,0,1
2.076540400,0,0,0,1
2.076541400,1,1,0,1
2.076542400,0,0,0,1
2.076543400,1,1,0,1
2.076544400,0,0,0,1
2.076545400,1,1,0,1
2.076546380,0,0,0,1
2.076547380,0,1,0,1
2.076547400,1,1,0,1
2.076548380,0,0,0,1
2.076549380,1,1,0,1
2.076550380,0,0,0,1
2.076551380,1,1,0,1
2.076552380,0,0,0,1
2.076565860,1,1,0,1
2.076566840,0,0,0,1
2.076567840,1,1,0,1
2.076568840,0,0,0,1
2.076569840,1,1,0,1
2.076570840,0,0,0,1
2.076571840,1,1,0,1
2.076572840,0,0,0,1
2.076573840,1,1,0,1
2.076574820,0,0,0,1
2.076575840,1,1,0,1
2.076576820,0,0,0,1
2.076577820,1,1,0,1
2.076578820,0,0,0,1
2.076579820,1,1,0,1
2.076580820,0,0,0,1
2.076641700,1,1,0,1
2.076642700,0,0,0,1
2.076643700,1,1,0,1
2.076644700,0,0,0,1
2.076645700,1,1,0,1
2.076646680,0,0,0,1
2.076647680,1,1,0,1
2.076648680,0,0,0,1
2.076649680,1,1,0,1
2.076650680,0,0,0,1
2.076651680,1,1,0,1
2.076652680,0,0,0,1
