Time [s],SCLK,SDO,SDI,nSEL
0.340052900,0,1,1,0
0.340053900,1,1,1,0
0.340054900,0,1,0,0
0.340055900,1,1,0,0
0.340056900,0,1,0,0
0.340057900,1,1,0,0
0.340058900,0,1,0,0
0.340059900,1,1,0,0
0.340060900,0,1,1,0
0.340061900,1,1,1,0
0.340062900,0,1,0,0
0.340063900,1,1,0,0
0.340064900,0,1,0,0
0.340065900,1,1,0,0
0.340066900,0,0,0,0
0.340094620,0,0,1,0
0.340096380,1,0,1,0
0.340097380,0,0,1,0
0.340098380,1,0,1,0
0.340099380,0,0,1,0
0.340100380,1,0,1,0
0.340101380,0,0,1,0
0.340102380,1,0,1,0
0.340103360,0,0,1,0
0.340104380,1,0,1,0
0.340105360,0,0,1,0
0.340106380,1,0,1,0
0.340107360,0,0,1,0
0.340108360,1,0,1,0
0.340109360,0,0,1,0
0.340110360,1,0,1,0
0.340111360,0,0,1,0
0.340187580,0,0,1,1
0.340188280,0,1,1,1
0.340188820,0,1,1,0
0.340193080,0,1,0,0
0.340194820,1,1,0,0
0.340195820,0,1,1,0
0.340196820,1,1,1,0
0.340197820,0,1,0,0
0.340198820,1,1,0,0
0.340199820,0,1,0,0
0.340200820,1,1,0,0
0.340201820,0,1,0,0
0.340202820,1,1,0,0
0.340203820,0,1,1,0
0.340204820,1,1,1,0
0.340205820,0,1,0,0
0.340206820,1,1,0,0
0.340207820,0,1,0,0
0.340208820,1,1,0,0
0.340209820,0,1,0,0
0.340220060,0,1,1,0
0.340221800,1,1,1,0
0.340222800,0,1,1,0
0.340223800,1,1,1,0
0.340224800,0,1,1,0
0.340225800,1,1,1,0
0.340226800,0,1,1,0
0.340227800,1,1,1,0
0.340228800,0,1,1,0
0.340229800,1,1,1,0
0.340230800,0,1,1,0
0.340231800,1,1,1,0
0.340232800,0,1,1,0
0.340233800,1,1,1,0
0.340234800,0,1,1,0
0.340235800,1,1,1,0
0.340236800,0,0,1,0
0.340245040,0,0,1,1
0.340245640,0,1,1,1
0.340252040,0,1,1,0
0.340259780,0,1,0,0
0.340261540,1,1,0,0
0.340262540,0,1,0,0
0.340263540,1,1,0,0
0.340264540,0,1,0,0
0.340265540,1,1,0,0
0.340266540,0,1,0,0
0.340267540,1,1,0,0
0.340268540,0,1,0,0
0.340269540,1,1,0,0
0.340270540,0,1,1,0
0.340271540,1,1,1,0
0.340272540,0,1,0,0
0.340273540,1,1,0,0
0.340274540,0,1,0,0
0.340275540,1,1,0,0
0.340276520,0,1,0,0
0.340290020,1,1,0,0
0.340291020,0,1,0,0
0.340292020,1,1,0,0
0.340293020,0,1,1,0
0.340294020,1,1,1,0
0.340295020,0,1,0,0
0.340296020,1,1,0,0
0.340297020,0,1,0,0
0.340298020,1,1,0,0
0.340299020,0,1,0,0
0.340300020,1,1,0,0
0.340301020,0,1,0,0
0.340302020,1,1,0,0
0.340303020,0,1,1,0
0.340304020,1,1,1,0
0.340305020,0,1,0,0
0.340318500,1,1,0,0
0.340319500,0,1,1,0
0.340320500,1,1,1,0
0.340321500,0,1,1,0
0.340322500,1,1,1,0
0.340323500,0,1,1,0
0.340324500,1,1,1,0
0.340325500,0,1,0,0
0.340326500,1,1,0,0
0.340327500,0,1,0,0
0.340328500,1,1,0,0
0.340329500,0,1,0,0
0.340330500,1,1,0,0
0.340331500,0,1,1,0
0.340332500,1,1,1,0
0.340333500,0,1,0,0
0.340347000,1,1,0,0
0.340347980,0,1,0,0
0.340348000,0,1,1,0
0.340348980,1,1,1,0
0.340349980,0,1,0,0
0.340350980,1,1,0,0
0.340351980,0,1,0,0
0.340352980,1,1,0,0
0.340353980,0,1,1,0
0.340354980,1,1,1,0
0.340355980,0,1,0,0
0.340356980,1,1,0,0
0.340357980,0,1,1,0
0.340358980,1,1,1,0
0.340359980,0,1,1,0
0.340360980,1,1,1,0
0.340361980,0,1,0,0
0.340375480,1,1,0,0
0.340376480,0,1,0,0
